raw,datum,beskrivning,tag
,16/9,Kollationering,meeting
,2/10,Spexhelg,other
,3/10,Spexhelg,other
,6/11,Checkis,rehearsal
,14/11,Låtskrivarseminarium,other
,1/12,Bludder,other
,12/12,DubbelCheckis,rehearsal
,16/12,Höstmöte,meeting
,29/1,Ice-Skating,party
,5/2,Smygis,rehearsal
,10/3,Premiere - Inflytt,other
,11/3,Premiere,show
,12/3,Premiere,show
,13/3,Premiere,show
,14/3,Premiere,show
,23/3,Premiärfest,party
,28/3,Vårmöte,meeting
,15/6,Föreställningar - Inflytt,other
,16/6,Föreställningar,show
,17/6,Föreställningar,show
,18/6,Föreställningar,show
,19/6,Föreställningar,show
,27/8,NØlleomgång - Inflytt,other
,28/8,NØlleomgång,show
,29/8,NØlleomgång,show
