raw,datum,beskrivning,tag
11/9 Kollationering,11/9,Kollationering,meeting
20/9-22/9 Internat på Barnens ö,20/9-22/9,Internat på Barnens ö,tour
12/10 Happening,12/10,Happening,rehearsal
"9/11 Smygis, Teater Bristol, Sundbyberg",9/11,"Smygis, Teater Bristol, Sundbyberg",rehearsal
13/11 Höstmöte,13/11,Höstmöte,meeting
"5/12 Genrep, Södra Teatern",5/12,"Genrep, Södra Teatern",show
"8/12 Premiär, Södra Teatern",8/12,"Premiär, Södra Teatern",show
"9/12 Föreställning, Södra Teatern",9/12,"Föreställning, Södra Teatern",show
6/2-9/2 Finlandsturné,6/2-9/2,Finlandsturné,tour
"16/2-18/2 Omgång 2, Södran",16/2-18/2,"Omgång 2, Södran",show
24/3-26/3: Omgång 3,24/3-26/3,Omgång 3,show
29/3: Gamla spexare-festen,29/3,Gamla spexare-festen,party
2/4: Vårmöte,2/4,Vårmöte,meeting
3/5-10/5: Quarnevalen,3/5-10/5,Quarnevalen,other
17/5-18/5: Osqvik,17/5-18/5,Osqvik,party
31/8-3/9: N0lleomgång,31/8-3/9,N0lleomgång,show
31/8 Sista öppna föreställningen (sälj sälj sälj!). Tidig samling på teatern.,31/8,Sista öppna föreställningen (sälj sälj sälj!). Tidig samling på teatern.,show
"1/8 n0lleföreställning, köpt av KTH för n0llan. Samling nån gång efter lunch",1/8,"n0lleföreställning, köpt av KTH för n0llan. Samling nån gång efter lunch",show
2/8 Föreställning abonnerad av KTHs externa relationer. Samling nån gång efter lunch,2/8,Föreställning abonnerad av KTHs externa relationer. Samling nån gång efter lunch,show
"3/8 n0lleföreställning, köpt av KTH för n0llan. Samling nån gång efter lunch",3/8,"n0lleföreställning, köpt av KTH för n0llan. Samling nån gång efter lunch",show
13/9 Slutfest,13/9,Slutfest,party
