raw,datum,beskrivning,tag
14/9-16/9 - Internatet,14/9-16/9,Internatet,tour
29/9 - Happening,29/9,Happening,rehearsal
30/10 - TF's (TeknologFöreningen i Finlands) spex kommer till Stockholm och spelar,30/10,TF's (TeknologFöreningen i Finlands) spex kommer till Stockholm och spelar,other
3/11 - Smygis,3/11,Smygis,rehearsal
23/11 - Slaskfest,23/11,Slaskfest,party
4/12 - Höstmöte (stormöte där vi bland annat formellt avslutar spexåret 11/12 och avslöjar en plan för manus nästa år),4/12,Höstmöte (stormöte där vi bland annat formellt avslutar spexåret 11/12 och avslöjar en plan för manus nästa år),meeting
19/1 - Sneakys,19/1,Sneakys,rehearsal
30/1 - Genomdrag,30/1,Genomdrag,show
31/1-4/2 - Finland,31/1-4/2,Finland,tour
2/2 - Föreställning Finland,2/2,Föreställning Finland,show
4/2 - Spexinarium Acapellaperformance,4/2,Spexinarium Acapellaperformance,other
1/3-3/3 - Premiäromgång på Maxim,1/3-3/3,Premiäromgång på Maxim,show
1/3 - Genrep/Smygpremiär,1/3,Genrep/Smygpremiär,show
2/3 - Premiär och Premiärfest,2/3,Premiär och Premiärfest,show
3/3 - Föreställning,3/3,Föreställning,show
16/3 - Slaskfest,16/3,Slaskfest,party
21/3 - Vårmöte med val av nya directionen och ny revisor,21/3,Vårmöte med val av nya directionen och ny revisor,meeting
5/5-7/5 - Omgång 2 på Södran,5/5-7/5,Omgång 2 på Södran,show
5/5 - Gamla spexareföreställning,5/5,Gamla spexareföreställning,show
6/5 - Bjuppföreställning och eventuellt pub,6/5,Bjuppföreställning och eventuellt pub,show
7/5 - KTH-anställda,7/5,KTH-anställda,show
11/5 - Gamla spexarefest,11/5,Gamla spexarefest,party
18/5 - Föreställning av LiSS och slaskfest med LiSS,18/5,Föreställning av LiSS och slaskfest med LiSS,other
1/6-2/6 - Marfan (turné till Mariefred),1/6-2/6,Marfan (turné till Mariefred),tour
5/6-9/6 - Turné till Småland och Lund,5/6-9/6,Turné till Småland och Lund,tour
6/6 - Föreställning Åseda,6/6,Föreställning Åseda,show
8/6 - Föreställning Lund,8/6,Föreställning Lund,show
"21/8-22/8 - ""n0lle"" del 1",21/8-22/8,"""n0lle"" del 1",show
21/8 - Slaskföreställning,21/8,Slaskföreställning,show
22/8 - Föreställning KTH externa relationer,22/8,Föreställning KTH externa relationer,show
2/9 - n0lleföreställning,2/9,n0lleföreställning,show
4/9 - n0lleföreställning,4/9,n0lleföreställning,show
6/9 Slutfest,6/9,Slutfest,party
